"descr","NumRaw","NumSet","NumCnf","NumIssued","NumSat","NumSold","NumNetSold","GSA","NSA","MCost","WorkingAmount","EmpName","SDate","EDate","FullName","xbrn_id","xsrc_id","xsrs_id","xSortBy","CurrentDateTime","UseColor"
"Contractor Appointment-West","361","12","11","9","7","1","1","23921","23921","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Resource Living","1","1","1","1","1","1","1","21000","21000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Previous Customer","9","2","2","2","2","1","0","17800","323640","0.0000","9921","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Venice Home Show","10","10","3","2","2","1","1","16900","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Radio","7","1","1","1","1","1","1","16600","16600","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Magazine","7","2","2","2","2","1","1","13905","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Chat (REECE WEBSITE)","87","2","2","1","1","1","1","10987","10987","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"GetTheReferral.Com","16","3","3","2","2","1","1","10944","50798","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Google Service Ads","8","6","6","6","6","1","0","9990","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Peacock TV","1","1","1","1","1","1","0","8801","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Fox - Tampa","2","2","2","1","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Estimate Calculator","6","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Contractor Appointment-East","6","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Website Estimate Calculator","10","1","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"HercuLeads","1","1","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"HR Leads","7","7","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Reece ChatBot","122","7","5","3","2","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Bonita springs seafood festival","7","7","2","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"PodCast","1","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Lifestyle Magazine","1","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"MySafeFloridaHome","4","4","4","4","4","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"USA Today-PC Letter","1","1","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"NBC WFLA OTT - West","3","3","2","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
