"descr","NumRaw","NumSet","NumCnf","NumIssued","NumSat","NumSold","NumNetSold","GSA","NSA","MCost","WorkingAmount","EmpName","SDate","EDate","FullName","xbrn_id","xsrc_id","xsrs_id","xSortBy","CurrentDateTime","UseColor"
"Reecewindows.com","67","5","3","3","3","1","1","5101","5101","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"","53","1","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Trucks","3","3","3","2","2","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Bing PPC","11","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Bing Organic","2","1","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Clever","8","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Simpletext","74","3","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Flyer on Door","4","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Radio","3","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"TV","4","1","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Mail","5","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Newspaper","3","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Previous Customer","7","0","0","0","0","0","0","0.0000","373116","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Facebook","11","3","3","2","2","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"","14","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"","13","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Magazine","3","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Billboard","11","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Google PPC PMAX","3","3","3","3","3","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Thinxmg","9","3","2","2","2","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Mercato Art Show","1","1","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Contractor Appointment-West","0","0","0","0","0","0","0","0.0000","0.0000","23000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"HR Leads","10","9","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"LeadPilotData","3","3","1","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Reece ChatBot","4","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Elite Marketing","4","4","3","3","2","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"USATodayFlashSale","1","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Chat (REECE WEBSITE)","186","5","3","4","4","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Lifestyle Magazine","1","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Stone Canyon AI","9","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"MySafeFloridaHome","4","4","4","3","3","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Resource Living","4","1","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"USA Today-PC Letter","1","1","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"DT Marketing","1","1","1","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Google PPC Roofs","11","5","5","5","4","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Billboard","15","13","13","10","10","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Peacock TV","2","1","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
"Fox - Tampa","2","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","1/1/2026","1/31/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:24 PM","True"
